Customer_ID,Total_Orders,Total_Revenue,Total_Profit,Avg_Discount,Avg_Age,Total_Quantity,Segment,Segment_Label
C0001,7,8768.28,2508.89,0.14142857142857143,37.285714285714285,17.0,1,High Value
C0002,4,6987.59,1527.2,0.08249999999999999,43.5,9.0,2,Mid Value
C0003,3,3271.2799999999997,499.29999999999995,0.15666666666666665,49.666666666666664,11.0,0,Low Value
C0004,3,2860.8,645.4,0.23333333333333336,50.0,9.0,0,Low Value
C0005,6,9984.27,2251.46,0.16333333333333333,39.333333333333336,28.0,1,High Value
C0006,5,4890.42,929.4200000000001,0.184,37.8,14.0,2,Mid Value
C0007,3,5000.67,1141.81,0.24,38.333333333333336,11.0,2,Mid Value
C0008,2,1366.93,452.58000000000004,0.15000000000000002,34.5,4.0,0,Low Value
C0009,3,6623.19,1440.76,0.13,56.333333333333336,11.0,2,Mid Value
C0010,4,6420.84,1699.8600000000001,0.13,32.0,10.0,2,Mid Value
C0011,1,1741.72,257.98,0.2,61.0,5.0,0,Low Value
C0012,2,2266.94,609.18,0.075,34.5,7.0,0,Low Value
C0013,5,5292.66,1424.21,0.126,44.6,20.0,2,Mid Value
C0014,3,2501.98,591.38,0.15666666666666668,45.0,9.0,0,Low Value
C0015,5,8726.28,1855.37,0.15,30.0,18.0,1,High Value
C0016,2,469.32,129.25,0.13,39.0,5.0,0,Low Value
C0017,7,3050.7,727.41,0.14142857142857143,43.0,15.0,2,Mid Value
C0018,3,7222.09,1254.21,0.08666666666666667,44.0,9.0,2,Mid Value
C0019,1,3780.65,859.1,0.0,35.0,5.0,0,Low Value
C0020,5,5497.52,1042.13,0.128,51.8,18.0,2,Mid Value
C0021,1,3379.29,691.32,0.12,27.0,5.0,0,Low Value
C0022,5,6963.41,1719.3000000000002,0.20600000000000002,24.8,13.0,2,Mid Value
C0023,2,2516.2400000000002,520.25,0.16,23.0,6.0,0,Low Value
C0024,4,4709.63,1043.8500000000001,0.1575,33.5,7.0,2,Mid Value
C0025,3,3757.71,738.2,0.13333333333333333,41.0,6.0,0,Low Value
C0026,1,3619.91,635.11,0.08,64.0,4.0,0,Low Value
C0027,6,12785.9,3161.07,0.19166666666666668,45.833333333333336,21.0,1,High Value
C0028,5,7333.530000000001,1282.41,0.156,53.0,14.0,2,Mid Value
C0029,3,4585.24,832.1700000000001,0.16,60.666666666666664,10.0,0,Low Value
C0030,3,1588.8799999999999,403.46,0.06,39.666666666666664,7.0,0,Low Value
C0031,6,10378.79,1916.47,0.13833333333333334,45.166666666666664,19.0,1,High Value
C0032,4,4236.15,833.52,0.165,42.0,12.0,2,Mid Value
C0033,2,3024.5,606.6700000000001,0.20500000000000002,44.0,6.0,0,Low Value
C0034,6,6232.3,1372.83,0.12,39.5,15.0,2,Mid Value
C0035,2,2125.8900000000003,485.90999999999997,0.195,29.5,5.0,0,Low Value
C0036,3,3813.2,927.98,0.17,41.0,8.0,0,Low Value
C0037,3,3563.6000000000004,1034.25,0.10333333333333333,53.666666666666664,8.0,0,Low Value
C0039,4,4157.77,990.32,0.0925,44.75,12.0,2,Mid Value
C0040,4,4987.9400000000005,1084.53,0.16,45.25,12.0,2,Mid Value
C0041,4,4792.17,1417.3999999999999,0.1575,38.5,8.0,2,Mid Value
C0042,4,5052.46,1155.64,0.2025,31.5,11.0,2,Mid Value
C0043,2,1865.5,425.57,0.24,62.0,5.0,0,Low Value
C0045,5,4827.0599999999995,751.71,0.15,40.2,17.0,2,Mid Value
C0047,9,11825.28,2309.18,0.14333333333333334,39.22222222222222,34.0,1,High Value
C0048,5,7388.66,1651.0900000000001,0.11600000000000002,42.8,19.0,2,Mid Value
C0049,3,3167.75,774.48,0.04,43.666666666666664,6.0,0,Low Value
C0050,5,3987.66,962.75,0.242,51.8,13.0,2,Mid Value
C0051,4,4122.85,652.92,0.165,38.75,17.0,2,Mid Value
C0052,5,7750.98,1817.4,0.10200000000000001,38.0,12.0,2,Mid Value
C0053,7,6184.05,1677.14,0.16142857142857145,38.57142857142857,20.0,1,High Value
C0054,4,5172.22,1267.18,0.0925,40.5,10.0,2,Mid Value
C0055,2,2469.62,543.21,0.13999999999999999,55.0,5.0,0,Low Value
C0056,5,6783.53,1495.58,0.154,49.6,14.0,2,Mid Value
C0057,5,6100.64,1171.94,0.142,45.0,14.0,2,Mid Value
C0058,4,6530.0599999999995,1529.46,0.11499999999999999,47.5,11.0,2,Mid Value
C0059,2,7577.59,2409.1000000000004,0.14,40.5,10.0,2,Mid Value
C0060,6,11200.32,2758.1,0.15,40.666666666666664,25.0,1,High Value
C0061,6,10626.89,1880.6200000000001,0.115,42.833333333333336,19.0,1,High Value
C0062,5,6901.4,1365.21,0.16,41.8,16.0,2,Mid Value
C0063,6,9207.4,2460.63,0.17333333333333334,43.0,27.0,1,High Value
C0064,3,3993.0099999999998,740.85,0.14666666666666667,48.0,11.0,0,Low Value
C0065,3,2749.98,803.1600000000001,0.13,54.666666666666664,9.0,0,Low Value
C0066,2,933.23,144.41,0.27,28.0,4.0,0,Low Value
C0067,5,4901.21,1389.58,0.09,48.4,8.0,2,Mid Value
C0068,3,837.04,139.12,0.15,37.666666666666664,6.0,0,Low Value
C0069,7,9727.289999999999,2453.03,0.15857142857142859,43.714285714285715,19.0,1,High Value
C0070,2,3243.79,499.69,0.10500000000000001,48.0,5.0,0,Low Value
C0071,3,3760.28,1000.16,0.17,34.0,9.0,0,Low Value
C0072,4,4695.3099999999995,1292.7800000000002,0.20500000000000002,49.5,12.0,2,Mid Value
C0073,3,3981.45,735.98,0.056666666666666664,40.333333333333336,10.0,0,Low Value
C0074,7,7037.9,1378.08,0.1442857142857143,38.57142857142857,23.0,1,High Value
C0075,5,9870.52,2516.11,0.16399999999999998,47.4,20.0,1,High Value
C0076,7,6145.78,1252.92,0.1742857142857143,39.42857142857143,21.0,2,Mid Value
C0077,6,14149.85,3075.75,0.17333333333333334,39.833333333333336,24.0,1,High Value
C0078,3,7186.860000000001,1714.0500000000002,0.10333333333333333,42.666666666666664,10.0,2,Mid Value
C0079,5,8699.92,1401.49,0.164,36.4,17.0,2,Mid Value
C0080,7,8506.36,2375.06,0.12142857142857143,34.857142857142854,23.0,1,High Value
C0081,6,7306.4400000000005,2002.2,0.14166666666666666,48.166666666666664,19.0,1,High Value
C0082,4,2741.39,628.8199999999999,0.1375,36.0,12.0,0,Low Value
C0083,5,7663.55,1820.19,0.196,39.8,16.0,2,Mid Value
C0084,3,1896.6499999999999,597.91,0.14333333333333334,43.333333333333336,10.0,0,Low Value
C0085,5,4828.37,963.3199999999999,0.144,47.2,14.0,2,Mid Value
C0086,6,3636.9700000000003,878.87,0.16666666666666666,37.5,12.0,2,Mid Value
C0087,7,9252.68,1952.57,0.13142857142857142,38.142857142857146,22.0,1,High Value
C0088,3,2121.62,666.1,0.10000000000000002,51.666666666666664,3.0,0,Low Value
C0089,2,1743.8999999999999,478.54,0.195,43.0,7.0,0,Low Value
C0090,8,10724.13,2683.5299999999997,0.14250000000000002,32.0,24.0,1,High Value
C0091,3,4076.2099999999996,735.35,0.19666666666666668,41.666666666666664,11.0,0,Low Value
C0092,5,10177.04,3179.26,0.12600000000000003,42.8,15.0,1,High Value
