Order_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Region,Country,Category,Product_Name,Price,Quantity,Discount,Revenue,Profit,Payment_Method,Month
O00001,2023-04-25,C0052,65,Female,South,UK,Furniture,Desk,679.93,5.0,0.03,3297.66,677.6,Credit Card,2023-04
O00002,2023-04-06,C0448,32,Male,South,Australia,Office Supplies,Pen Set,454.72,3.0,0.24,1036.76,105.36,Debit Card,2023-04
O00003,2024-03-08,C0697,35,Male,South,India,Electronics,Laptop,386.13,3.0,0.25,868.79,218.01,Credit Card,2024-03
O00004,2024-04-15,C1099,25,Female,North,Canada,Clothing,Jacket,581.58,1.0,0.01,575.76,90.38,PayPal,2024-04
O00005,2023-03-23,C1752,32,Male,West,India,Office Supplies,Printer Paper,171.03,3.0,0.06,482.3,80.42,Credit Card,2023-03
O00006,2023-06-25,C1094,64,Male,South,Germany,Office Supplies,Printer Paper,989.63,5.0,0.07,4601.78,833.25,Credit Card,2023-06
O00007,2023-08-23,C1684,20,Female,West,India,Electronics,Smartphone,914.0,5.0,0.26,3381.8,604.22,Cash,2023-08
O00008,2024-02-10,C1812,59,Female,South,India,Furniture,Chair,747.54,5.0,0.08,3438.68,846.42,Cash,2024-02
O00009,2024-01-06,C0450,26,Female,North,USA,Electronics,Smartphone,631.17,4.0,0.18,2070.24,406.16,Cash,2024-01
O00010,2023-09-15,C1989,53,Male,North,Australia,Clothing,Jacket,120.44,4.0,0.05,457.67,46.14,PayPal,2023-09
O00011,2024-05-27,C1561,29,Male,East,Australia,Furniture,Chair,380.17,2.0,0.16,638.69,188.19,Credit Card,2024-05
O00012,2023-11-28,C1001,19,Male,East,India,Furniture,Desk,248.46,5.0,0.28,894.46,108.6,Cash,2023-11
O00013,2023-03-12,C1558,52,Male,South,Australia,Office Supplies,Pen Set,272.41,5.0,0.13,1184.98,181.24,Debit Card,2023-03
O00014,2023-11-16,C0818,60,Female,West,Canada,Office Supplies,Notebook,255.43,1.0,0.1,229.89,56.8,Debit Card,2023-11
O00015,2023-08-14,C0015,22,Male,South,USA,Electronics,Tablet,80.15,2.0,0.08,147.48,32.65,Debit Card,2023-08
O00016,2024-04-29,C0498,48,Female,South,USA,Electronics,Headphones,360.75,4.0,0.14,1240.98,350.29,Credit Card,2024-04
O00017,2023-03-04,C0825,64,Female,North,UK,Furniture,Chair,540.92,2.0,0.13,941.2,159.66,Debit Card,2023-03
O00018,2023-03-19,C0908,53,Male,North,Australia,Electronics,Laptop,927.1,2.0,0.05,1761.49,390.01,Debit Card,2023-03
O00019,2024-02-15,C1849,21,Male,West,USA,Office Supplies,Printer Paper,927.25,4.0,0.09,3375.19,925.3,Cash,2024-02
O00020,2023-06-08,C0389,36,Male,North,Canada,Electronics,Tablet,66.59,5.0,0.14,286.34,94.45,Debit Card,2023-06
O00021,2023-02-28,C1968,50,Male,South,USA,Electronics,Smartphone,409.74,5.0,0.07,1905.29,473.71,Credit Card,2023-02
O00022,2024-03-05,C1347,55,Female,East,UK,Clothing,Jeans,272.96,2.0,0.2,436.74,76.43,PayPal,2024-03
O00023,2023-03-16,C0020,47,Male,North,Canada,Furniture,Sofa,141.13,3.0,0.26,313.31,100.2,PayPal,2023-03
O00024,2023-10-19,C0324,46,Female,North,Australia,Clothing,T-Shirt,939.54,2.0,0.08,1728.75,557.4,Debit Card,2023-10
O00025,2023-10-06,C0578,56,Male,East,UK,Clothing,Shoes,258.61,1.0,0.03,250.85,51.65,PayPal,2023-10
O00026,2023-02-15,C0008,39,Male,East,UK,Office Supplies,Stapler,565.3,1.0,0.02,553.99,177.71,Debit Card,2023-02
O00027,2023-02-06,C1710,41,Male,West,UK,Electronics,Tablet,371.01,1.0,0.27,270.84,41.31,Debit Card,2023-02
O00028,2023-04-16,C0725,53,Female,South,UK,Furniture,Chair,882.6,1.0,0.05,838.47,277.64,Cash,2023-04
O00029,2023-09-12,C0547,28,Male,West,USA,Office Supplies,Pen Set,207.58,4.0,0.1,747.29,228.02,Debit Card,2023-09
